r_kpc,v_km_s,a_m_s2
42.1,228.0312719963001,1235.1130880819617
42.2,227.80800971071375,1229.7746276861765
42.300000000000004,227.5852849386541,1224.4695489505525
42.400000000000006,227.3630959209349,1219.197579876232
42.50000000000001,227.1414409058565,1213.9584512185575
42.6,226.92031814915853,1208.7518964534115
42.7,226.69972591397294,1203.5776517440386
42.800000000000004,226.4796624707774,1198.4354559083472
42.900000000000006,226.2601260973493,1193.3250503866761
43.00000000000001,226.04111507872048,1188.2461792100314
43.1,225.8226277071317,1183.1985889687658
43.2,225.60466228198845,1178.1820287817145
43.300000000000004,225.38721710981676,1173.1962502657661
43.400000000000006,225.17029050421928,1168.241007505864
43.50000000000001,224.95388078583227,1163.3160570254352
43.6,224.73798628228278,1158.4211577572366
43.7,224.52260532814591,1153.556071014608
43.800000000000004,224.30773626490358,1148.7205604631401
43.900000000000006,224.09337744090232,1143.9143920927265
44.00000000000001,223.8795272113124,1139.137334190017
44.1,223.66618393808733,1134.3891573112542
44.2,223.45334598992304,1129.6696342554808
44.300000000000004,223.24101174221857,1124.9785400381347
44.400000000000006,223.0291795770359,1120.3156518649937
44.50000000000001,222.81784788306143,1115.6807491064965
44.6,222.60701505556688,1111.0736132724076
44.7,222.39667949637075,1106.4940279868335
44.800000000000004,222.18683961380066,1101.9417789635886
44.900000000000006,221.97749382265545,1097.4166539818937
45.00000000000001,221.76864054416794,1092.918442862408
45.1,221.56027820596805,1088.4469374435912
45.2,221.35240524204593,1084.0019315583831
45.300000000000004,221.1450200927161,1079.5832210112098
45.400000000000006,220.9381212045811,1075.19060355529
45.50000000000001,220.7317070304963,1070.8238788702602
45.6,220.52577602953428,1066.4828485400947
45.7,220.3203266669503,1062.167316031328
45.800000000000004,220.1153574141471,1057.8770866715658
45.900000000000006,219.91086674864124,1053.6119676282929
46.00000000000001,219.7068531540286,1049.371767887954
46.1,219.50331511995108,1045.1562982353264
46.2,219.30025114206296,1040.9653712331576
46.300000000000004,219.09765972199784,1036.798801202081
46.400000000000006,218.89553936733606,1032.6564042007965
46.50000000000001,218.69388859157195,1028.5379980065134
46.6,218.49270591408174,1024.4434020956526
46.7,218.29198986009172,1020.3724376248048
46.800000000000004,218.09173896064635,1016.3249274119382
46.900000000000006,217.89195175257726,1012.3006959178562
47.00000000000001,217.69262677847166,1008.2995692278927
47.1,217.49376258664213,1004.3213750338568
47.2,217.29535773109535,1000.3659426162012
